"","subject","node.i","node.j","value"
"5151",1,4,3,0
"7651",1,4,4,-1
"10151",1,4,5,0.428767642035855
"12651",1,4,6,0
"15151",1,4,7,0
"17651",1,4,8,0
"20151",1,4,9,0
"22651",1,4,10,0
"25151",1,4,11,0
"27651",1,4,12,0
"30151",1,4,13,0
"32651",1,4,14,0
"35151",1,4,15,0
"37651",1,4,16,0
"40151",1,4,17,0
"42651",1,4,18,0
"45151",1,4,19,0
"47651",1,4,20,0
"50151",1,4,21,0
"52651",1,4,22,0
"55151",1,4,23,0
"57651",1,4,24,0
"60151",1,4,25,0
"62651",1,4,26,0
"65151",1,4,27,0
"67651",1,4,28,0
"70151",1,4,29,0
"72651",1,4,30,0
"75151",1,4,31,0
"77651",1,4,32,0
"80151",1,4,33,0
"82651",1,4,34,0
"85151",1,4,35,0
"87651",1,4,36,0
"90151",1,4,37,0
"92651",1,4,38,0
"95151",1,4,39,0
"97651",1,4,40,0
"100151",1,4,41,0
"102651",1,4,42,0
"105151",1,4,43,0
"107651",1,4,44,0
"110151",1,4,45,0
"112651",1,4,46,0
"115151",1,4,47,0
"117651",1,4,48,0
"120151",1,4,49,0
"122651",1,4,50,0
"201",1,5,1,0
"2701",1,5,2,0
"5201",1,5,3,0
"7701",1,5,4,0
"10201",1,5,5,-1
"12701",1,5,6,0
"15201",1,5,7,0
"17701",1,5,8,0
"20201",1,5,9,0
"22701",1,5,10,0
"25201",1,5,11,0
"27701",1,5,12,0
"30201",1,5,13,0
"32701",1,5,14,0
"35201",1,5,15,0
"37701",1,5,16,0
"40201",1,5,17,0
"42701",1,5,18,0
"45201",1,5,19,0
"47701",1,5,20,0
"50201",1,5,21,0
"52701",1,5,22,0
"55201",1,5,23,0
"57701",1,5,24,0
"60201",1,5,25,0
"62701",1,5,26,0
"65201",1,5,27,0
"67701",1,5,28,0
"70201",1,5,29,0
"72701",1,5,30,0
"75201",1,5,31,0
"77701",1,5,32,0
"80201",1,5,33,0
"82701",1,5,34,0
"85201",1,5,35,0
"87701",1,5,36,0
"90201",1,5,37,0
"92701",1,5,38,0
"95201",1,5,39,0
"97701",1,5,40,0
"100201",1,5,41,0
"102701",1,5,42,0
"105201",1,5,43,0
"107701",1,5,44,0
"110201",1,5,45,0
"112701",1,5,46,0
"115201",1,5,47,0
"117701",1,5,48,0
"120201",1,5,49,0
"122701",1,5,50,0
"251",1,6,1,0
"2751",1,6,2,0
"5251",1,6,3,0
"7751",1,6,4,0
"10251",1,6,5,0
"12751",1,6,6,-1
"15251",1,6,7,0.5190915465643
"17751",1,6,8,0
"20251",1,6,9,0
"22751",1,6,10,0.417463914282092
"25251",1,6,11,0
"27751",1,6,12,0
"30251",1,6,13,0
"32751",1,6,14,0
"35251",1,6,15,0
"37751",1,6,16,0
"40251",1,6,17,0
"42751",1,6,18,0
"45251",1,6,19,0
"47751",1,6,20,0
"50251",1,6,21,0
"52751",1,6,22,0
"55251",1,6,23,0
"57751",1,6,24,0
"60251",1,6,25,0
"62751",1,6,26,0
"65251",1,6,27,0
"67751",1,6,28,0
"70251",1,6,29,0
"72751",1,6,30,0
"75251",1,6,31,0
"77751",1,6,32,0
"80251",1,6,33,0
"82751",1,6,34,0
"85251",1,6,35,0
"87751",1,6,36,0
"90251",1,6,37,0
"92751",1,6,38,0
"95251",1,6,39,0
"97751",1,6,40,0
"100251",1,6,41,0
"102751",1,6,42,0
"105251",1,6,43,0
"107751",1,6,44,0
"110251",1,6,45,0
"112751",1,6,46,0
"115251",1,6,47,0
"117751",1,6,48,0
"120251",1,6,49,0
"122751",1,6,50,0
"301",1,7,1,0
"2801",1,7,2,0
"5301",1,7,3,0
"7801",1,7,4,0
"10301",1,7,5,0
"12801",1,7,6,0
"15301",1,7,7,-1
"17801",1,7,8,0.51891642016521
"20301",1,7,9,0
"22801",1,7,10,0
"25301",1,7,11,0
"27801",1,7,12,0
"30301",1,7,13,0
"32801",1,7,14,0
"35301",1,7,15,0
"37801",1,7,16,0
"40301",1,7,17,0
"42801",1,7,18,0
"45301",1,7,19,0
"47801",1,7,20,0
"50301",1,7,21,0
"52801",1,7,22,0
"55301",1,7,23,0
"57801",1,7,24,0
"60301",1,7,25,0
"62801",1,7,26,0
"65301",1,7,27,0
"67801",1,7,28,0
"70301",1,7,29,0
"72801",1,7,30,0
"75301",1,7,31,0
"77801",1,7,32,0
"80301",1,7,33,0
"82801",1,7,34,0
"85301",1,7,35,0
"87801",1,7,36,0
"90301",1,7,37,0
"92801",1,7,38,0
"95301",1,7,39,0
"97801",1,7,40,0
"100301",1,7,41,0
"102801",1,7,42,0
"105301",1,7,43,0
"107801",1,7,44,0
"110301",1,7,45,0
"112801",1,7,46,0
"115301",1,7,47,0
"117801",1,7,48,0
"120301",1,7,49,0
"122801",1,7,50,0
"351",1,8,1,0
"2851",1,8,2,0
"5351",1,8,3,0
"7851",1,8,4,0
"10351",1,8,5,0
"12851",1,8,6,0
"15351",1,8,7,0
"17851",1,8,8,-1
"20351",1,8,9,0.396236672340668
"22851",1,8,10,0
"25351",1,8,11,0
"27851",1,8,12,0
"30351",1,8,13,0.461446304889548
"32851",1,8,14,0
"35351",1,8,15,0
"37851",1,8,16,0
"40351",1,8,17,0
"42851",1,8,18,0
"45351",1,8,19,0
"47851",1,8,20,0
"50351",1,8,21,0
"52851",1,8,22,0
"55351",1,8,23,0
"57851",1,8,24,0
"60351",1,8,25,0
"62851",1,8,26,0
"65351",1,8,27,0
"67851",1,8,28,0
"70351",1,8,29,0
"72851",1,8,30,0
"75351",1,8,31,0
"77851",1,8,32,0
"80351",1,8,33,0
"82851",1,8,34,0
"85351",1,8,35,0
"87851",1,8,36,0
"90351",1,8,37,0
"92851",1,8,38,0
"95351",1,8,39,0
"97851",1,8,40,0
"100351",1,8,41,0
"102851",1,8,42,0
"105351",1,8,43,0
"107851",1,8,44,0
"110351",1,8,45,0
"112851",1,8,46,0
"115351",1,8,47,0
"117851",1,8,48,0
"120351",1,8,49,0
"122851",1,8,50,0
"401",1,9,1,0
"2901",1,9,2,0
"5401",1,9,3,0
"7901",1,9,4,0
"10401",1,9,5,0
"12901",1,9,6,0
"15401",1,9,7,0
"17901",1,9,8,0
"20401",1,9,9,-1
"22901",1,9,10,0.432729236140865
"25401",1,9,11,0
"27901",1,9,12,0
"30401",1,9,13,0
"32901",1,9,14,0
"35401",1,9,15,0
"37901",1,9,16,0
"40401",1,9,17,0
"42901",1,9,18,0
"45401",1,9,19,0
"47901",1,9,20,0
"50401",1,9,21,0
"52901",1,9,22,0
"55401",1,9,23,0
"57901",1,9,24,0
"60401",1,9,25,0
"62901",1,9,26,0
"65401",1,9,27,0
"67901",1,9,28,0
"70401",1,9,29,0
"72901",1,9,30,0
"75401",1,9,31,0
"77901",1,9,32,0
"80401",1,9,33,0
"82901",1,9,34,0
"85401",1,9,35,0
"87901",1,9,36,0
"90401",1,9,37,0
"92901",1,9,38,0
"95401",1,9,39,0
"97901",1,9,40,0
"100401",1,9,41,0
"102901",1,9,42,0
"105401",1,9,43,0
"107901",1,9,44,0
"110401",1,9,45,0
"112901",1,9,46,0
"115401",1,9,47,0
"117901",1,9,48,0
"120401",1,9,49,0
"122901",1,9,50,0
"451",1,10,1,0
"2951",1,10,2,0
"5451",1,10,3,0
"7951",1,10,4,0
"10451",1,10,5,0
"12951",1,10,6,0
"15451",1,10,7,0
"17951",1,10,8,0
"20451",1,10,9,0
"22951",1,10,10,-1
"25451",1,10,11,0
"27951",1,10,12,0
"30451",1,10,13,0
"32951",1,10,14,0
"35451",1,10,15,0
"37951",1,10,16,0
"40451",1,10,17,0
"42951",1,10,18,0
"45451",1,10,19,0
"47951",1,10,20,0
"50451",1,10,21,0
"52951",1,10,22,0
"55451",1,10,23,0
"57951",1,10,24,0
"60451",1,10,25,0
"62951",1,10,26,0
"65451",1,10,27,0
"67951",1,10,28,0
"70451",1,10,29,0
"72951",1,10,30,0
"75451",1,10,31,0
"77951",1,10,32,0
"80451",1,10,33,0
"82951",1,10,34,0
"85451",1,10,35,0
"87951",1,10,36,0
"90451",1,10,37,0
"92951",1,10,38,0
"95451",1,10,39,0
"97951",1,10,40,0
"100451",1,10,41,0
"102951",1,10,42,0
"105451",1,10,43,0
"107951",1,10,44,0
"110451",1,10,45,0
"112951",1,10,46,0
"115451",1,10,47,0
"117951",1,10,48,0
"120451",1,10,49,0
"122951",1,10,50,0
"501",1,11,1,0
"3001",1,11,2,0
"5501",1,11,3,0
"8001",1,11,4,0
"10501",1,11,5,0
"13001",1,11,6,0
"15501",1,11,7,0
"18001",1,11,8,0
"20501",1,11,9,0
"23001",1,11,10,0
"25501",1,11,11,-1
"28001",1,11,12,0.381329142231856
"30501",1,11,13,0
"33001",1,11,14,0
"35501",1,11,15,0.38636041169134
"38001",1,11,16,0
"40501",1,11,17,0
"43001",1,11,18,0
"45501",1,11,19,0
"48001",1,11,20,0
"50501",1,11,21,0
"53001",1,11,22,0
"55501",1,11,23,0
"58001",1,11,24,0
"60501",1,11,25,0
"63001",1,11,26,0
"65501",1,11,27,0
"68001",1,11,28,0
"70501",1,11,29,0
"73001",1,11,30,0
"75501",1,11,31,0
"78001",1,11,32,0
"80501",1,11,33,0
"83001",1,11,34,0
"85501",1,11,35,0
"88001",1,11,36,0
"90501",1,11,37,0
"93001",1,11,38,0
"95501",1,11,39,0
"98001",1,11,40,0
"100501",1,11,41,0
"103001",1,11,42,0
"105501",1,11,43,0
"108001",1,11,44,0
"110501",1,11,45,0
"113001",1,11,46,0
"115501",1,11,47,0
"118001",1,11,48,0
"120501",1,11,49,0
"123001",1,11,50,0
"551",1,12,1,0
"3051",1,12,2,0
"5551",1,12,3,0
"8051",1,12,4,0
"10551",1,12,5,0
"13051",1,12,6,0
"15551",1,12,7,0
"18051",1,12,8,0
"20551",1,12,9,0
"23051",1,12,10,0
"25551",1,12,11,0
"28051",1,12,12,-1
"30551",1,12,13,0.47257905482933
"33051",1,12,14,0
"35551",1,12,15,0
"38051",1,12,16,0
"40551",1,12,17,0
"43051",1,12,18,0
"45551",1,12,19,0
"48051",1,12,20,0
"50551",1,12,21,0
"53051",1,12,22,0
"55551",1,12,23,0
"58051",1,12,24,0
"60551",1,12,25,0
"63051",1,12,26,0
"65551",1,12,27,0
"68051",1,12,28,0
"70551",1,12,29,0
"73051",1,12,30,0
"75551",1,12,31,0
"78051",1,12,32,0
"80551",1,12,33,0
"83051",1,12,34,0
"85551",1,12,35,0
"88051",1,12,36,0
"90551",1,12,37,0
"93051",1,12,38,0
"95551",1,12,39,0
"98051",1,12,40,0
"100551",1,12,41,0
"103051",1,12,42,0
"105551",1,12,43,0
"108051",1,12,44,0
"110551",1,12,45,0
"113051",1,12,46,0
"115551",1,12,47,0
"118051",1,12,48,0
"120551",1,12,49,0
"123051",1,12,50,0
"601",1,13,1,0
"3101",1,13,2,0
"5601",1,13,3,0
"8101",1,13,4,0
"10601",1,13,5,0
"13101",1,13,6,0
"15601",1,13,7,0
"18101",1,13,8,0
"20601",1,13,9,0
"23101",1,13,10,0
"25601",1,13,11,0
"28101",1,13,12,0
"30601",1,13,13,-1
"33101",1,13,14,0.341168345698581
"35601",1,13,15,0
"38101",1,13,16,0
"40601",1,13,17,0
"43101",1,13,18,0.450774078534199
"45601",1,13,19,0
"48101",1,13,20,0
"50601",1,13,21,0
"53101",1,13,22,0
"55601",1,13,23,0
"58101",1,13,24,0
"60601",1,13,25,0
"63101",1,13,26,0
"65601",1,13,27,0
"68101",1,13,28,0
"70601",1,13,29,0
"73101",1,13,30,0
"75601",1,13,31,0
"78101",1,13,32,0
"80601",1,13,33,0
"83101",1,13,34,0
"85601",1,13,35,0
"88101",1,13,36,0
"90601",1,13,37,0
"93101",1,13,38,0
"95601",1,13,39,0
"98101",1,13,40,0
"100601",1,13,41,0
"103101",1,13,42,0
"105601",1,13,43,0
"108101",1,13,44,0
"110601",1,13,45,0
"113101",1,13,46,0
"115601",1,13,47,0
"118101",1,13,48,0
"120601",1,13,49,0
"123101",1,13,50,0
"651",1,14,1,0
"3151",1,14,2,0
"5651",1,14,3,0
"8151",1,14,4,0
"10651",1,14,5,0
"13151",1,14,6,0
"15651",1,14,7,0
"18151",1,14,8,0
"20651",1,14,9,0
"23151",1,14,10,0
"25651",1,14,11,0
"28151",1,14,12,0
"30651",1,14,13,0
"33151",1,14,14,-1
"35651",1,14,15,0.6
"38151",1,14,16,0
"40651",1,14,17,0
"43151",1,14,18,0
"45651",1,14,19,0
"48151",1,14,20,0
"50651",1,14,21,0
"53151",1,14,22,0
"55651",1,14,23,0
"58151",1,14,24,0
"60651",1,14,25,0
"63151",1,14,26,0
"65651",1,14,27,0
"68151",1,14,28,0
"70651",1,14,29,0
"73151",1,14,30,0
"75651",1,14,31,0
"78151",1,14,32,0
"80651",1,14,33,0
"83151",1,14,34,0
"85651",1,14,35,0
"88151",1,14,36,0
"90651",1,14,37,0
"93151",1,14,38,0
"95651",1,14,39,0
"98151",1,14,40,0
"100651",1,14,41,0
"103151",1,14,42,0
"105651",1,14,43,0
"108151",1,14,44,0
"110651",1,14,45,0
"113151",1,14,46,0
"115651",1,14,47,0
"118151",1,14,48,0
"120651",1,14,49,0
"123151",1,14,50,0
"701",1,15,1,0
"3201",1,15,2,0
"5701",1,15,3,0
"8201",1,15,4,0
"10701",1,15,5,0
"13201",1,15,6,0
"15701",1,15,7,0
"18201",1,15,8,0
"20701",1,15,9,0
"23201",1,15,10,0
"25701",1,15,11,0
"28201",1,15,12,0
"30701",1,15,13,0
"33201",1,15,14,0
"35701",1,15,15,-1
"38201",1,15,16,0
"40701",1,15,17,0
"43201",1,15,18,0
"45701",1,15,19,0
"48201",1,15,20,0
"50701",1,15,21,0
"53201",1,15,22,0
"55701",1,15,23,0
"58201",1,15,24,0
"60701",1,15,25,0
"63201",1,15,26,0
"65701",1,15,27,0
"68201",1,15,28,0
"70701",1,15,29,0
"73201",1,15,30,0
"75701",1,15,31,0
"78201",1,15,32,0
"80701",1,15,33,0
"83201",1,15,34,0
"85701",1,15,35,0
"88201",1,15,36,0
"90701",1,15,37,0
"93201",1,15,38,0
"95701",1,15,39,0
"98201",1,15,40,0
"100701",1,15,41,0
"103201",1,15,42,0
"105701",1,15,43,0
"108201",1,15,44,0
"110701",1,15,45,0
"113201",1,15,46,0
"115701",1,15,47,0
"118201",1,15,48,0
"120701",1,15,49,0
"123201",1,15,50,0
"751",1,16,1,0
"3251",1,16,2,0
"5751",1,16,3,0
"8251",1,16,4,0
"10751",1,16,5,0
"13251",1,16,6,0
"15751",1,16,7,0
"18251",1,16,8,0
"20751",1,16,9,0
"23251",1,16,10,0
"25751",1,16,11,0
"28251",1,16,12,0
"30751",1,16,13,0
"33251",1,16,14,0
"35751",1,16,15,0
"38251",1,16,16,-1
"40751",1,16,17,0.411393131352081
"43251",1,16,18,0
"45751",1,16,19,0
"48251",1,16,20,0.316765053634998
"50751",1,16,21,0
"53251",1,16,22,0
"55751",1,16,23,0
"58251",1,16,24,0
"60751",1,16,25,0
"63251",1,16,26,0
"65751",1,16,27,0
"68251",1,16,28,0
"70751",1,16,29,0
"73251",1,16,30,0
"75751",1,16,31,0
"78251",1,16,32,0
"80751",1,16,33,0
"83251",1,16,34,0
"85751",1,16,35,0
"88251",1,16,36,0
"90751",1,16,37,0
"93251",1,16,38,0
"95751",1,16,39,0
"98251",1,16,40,0
"100751",1,16,41,0
"103251",1,16,42,0
"105751",1,16,43,0
"108251",1,16,44,0
"110751",1,16,45,0
"113251",1,16,46,0
"115751",1,16,47,0
"118251",1,16,48,0
"120751",1,16,49,0
"123251",1,16,50,0
"801",1,17,1,0
"3301",1,17,2,0
"5801",1,17,3,0
"8301",1,17,4,0
"10801",1,17,5,0
"13301",1,17,6,0
"15801",1,17,7,0
"18301",1,17,8,0
"20801",1,17,9,0
"23301",1,17,10,0
"25801",1,17,11,0
"28301",1,17,12,0
"30801",1,17,13,0
"33301",1,17,14,0
"35801",1,17,15,0
"38301",1,17,16,0
"40801",1,17,17,-1
"43301",1,17,18,0.506676821135919
"45801",1,17,19,0
"48301",1,17,20,0
"50801",1,17,21,0
"53301",1,17,22,0
"55801",1,17,23,0
"58301",1,17,24,0
"60801",1,17,25,0
"63301",1,17,26,0
"65801",1,17,27,0
"68301",1,17,28,0
"70801",1,17,29,0
"73301",1,17,30,0
"75801",1,17,31,0
"78301",1,17,32,0
"80801",1,17,33,0
"83301",1,17,34,0
"85801",1,17,35,0
"88301",1,17,36,0
"90801",1,17,37,0
"93301",1,17,38,0
"95801",1,17,39,0
"98301",1,17,40,0
"100801",1,17,41,0
"103301",1,17,42,0
"105801",1,17,43,0
"108301",1,17,44,0
"110801",1,17,45,0
"113301",1,17,46,0
"115801",1,17,47,0
"118301",1,17,48,0
"120801",1,17,49,0
"123301",1,17,50,0
"851",1,18,1,0
"3351",1,18,2,0
"5851",1,18,3,0
"8351",1,18,4,0
"10851",1,18,5,0
"13351",1,18,6,0
"15851",1,18,7,0
"18351",1,18,8,0
"20851",1,18,9,0
"23351",1,18,10,0
"25851",1,18,11,0
"28351",1,18,12,0
"30851",1,18,13,0
"33351",1,18,14,0
"35851",1,18,15,0
"38351",1,18,16,0
"40851",1,18,17,0
"43351",1,18,18,-1
"45851",1,18,19,0.405928146052361
"48351",1,18,20,0
"50851",1,18,21,0
"53351",1,18,22,0
"55851",1,18,23,0.569242987019052
"58351",1,18,24,0
"60851",1,18,25,0
"63351",1,18,26,0
"65851",1,18,27,0
"68351",1,18,28,0
"70851",1,18,29,0
"73351",1,18,30,0
"75851",1,18,31,0
"78351",1,18,32,0
"80851",1,18,33,0
"83351",1,18,34,0
"85851",1,18,35,0
"88351",1,18,36,0
"90851",1,18,37,0
"93351",1,18,38,0
"95851",1,18,39,0
"98351",1,18,40,0
"100851",1,18,41,0
"103351",1,18,42,0
"105851",1,18,43,0
"108351",1,18,44,0
"110851",1,18,45,0
"113351",1,18,46,0
"115851",1,18,47,0
"118351",1,18,48,0
"120851",1,18,49,0
"123351",1,18,50,0
"901",1,19,1,0
"3401",1,19,2,0
"5901",1,19,3,0
"8401",1,19,4,0
"10901",1,19,5,0
"13401",1,19,6,0
"15901",1,19,7,0
"18401",1,19,8,0
"20901",1,19,9,0
"23401",1,19,10,0
"25901",1,19,11,0
"28401",1,19,12,0
"30901",1,19,13,0
"33401",1,19,14,0
"35901",1,19,15,0
"38401",1,19,16,0
"40901",1,19,17,0
"43401",1,19,18,0
"45901",1,19,19,-1
"48401",1,19,20,0.390435159451633
"50901",1,19,21,0
"53401",1,19,22,0
"55901",1,19,23,0
"58401",1,19,24,0
"60901",1,19,25,0
"63401",1,19,26,0
"65901",1,19,27,0
"68401",1,19,28,0
"70901",1,19,29,0
"73401",1,19,30,0
"75901",1,19,31,0
"78401",1,19,32,0
"80901",1,19,33,0
"83401",1,19,34,0
"85901",1,19,35,0
"88401",1,19,36,0
"90901",1,19,37,0
"93401",1,19,38,0
"95901",1,19,39,0
"98401",1,19,40,0
"100901",1,19,41,0
"103401",1,19,42,0
"105901",1,19,43,0
"108401",1,19,44,0
"110901",1,19,45,0
"113401",1,19,46,0
"115901",1,19,47,0
"118401",1,19,48,0
"120901",1,19,49,0
"123401",1,19,50,0
"951",1,20,1,0
"3451",1,20,2,0
"5951",1,20,3,0
"8451",1,20,4,0
"10951",1,20,5,0
"13451",1,20,6,0
"15951",1,20,7,0
"18451",1,20,8,0
"20951",1,20,9,0
"23451",1,20,10,0
"25951",1,20,11,0
"28451",1,20,12,0
"30951",1,20,13,0
"33451",1,20,14,0
"35951",1,20,15,0
"38451",1,20,16,0
"40951",1,20,17,0
"43451",1,20,18,0
"45951",1,20,19,0
"48451",1,20,20,-1
"50951",1,20,21,0
"53451",1,20,22,0
"55951",1,20,23,0
"58451",1,20,24,0
"60951",1,20,25,0
"63451",1,20,26,0
"65951",1,20,27,0
"68451",1,20,28,0
"70951",1,20,29,0
"73451",1,20,30,0
"75951",1,20,31,0
"78451",1,20,32,0
"80951",1,20,33,0
"83451",1,20,34,0
"85951",1,20,35,0
"88451",1,20,36,0
"90951",1,20,37,0
"93451",1,20,38,0
"95951",1,20,39,0
"98451",1,20,40,0
"100951",1,20,41,0
"103451",1,20,42,0
"105951",1,20,43,0
"108451",1,20,44,0
"110951",1,20,45,0
"113451",1,20,46,0
"115951",1,20,47,0
"118451",1,20,48,0
"120951",1,20,49,0
"123451",1,20,50,0
"1001",1,21,1,0
"3501",1,21,2,0
"6001",1,21,3,0
"8501",1,21,4,0
"11001",1,21,5,0
"13501",1,21,6,0
"16001",1,21,7,0
"18501",1,21,8,0
"21001",1,21,9,0
"23501",1,21,10,0
"26001",1,21,11,0
"28501",1,21,12,0
"31001",1,21,13,0
"33501",1,21,14,0
"36001",1,21,15,0
"38501",1,21,16,0
"41001",1,21,17,0
"43501",1,21,18,0
"46001",1,21,19,0
"48501",1,21,20,0
"51001",1,21,21,-1
"53501",1,21,22,0.429441081639264
"56001",1,21,23,0
"58501",1,21,24,0
"61001",1,21,25,0.330822429829771
"63501",1,21,26,0
"66001",1,21,27,0
"68501",1,21,28,0
"71001",1,21,29,0
"73501",1,21,30,0
"76001",1,21,31,0
"78501",1,21,32,0
"81001",1,21,33,0
"83501",1,21,34,0
"86001",1,21,35,0
"88501",1,21,36,0
"91001",1,21,37,0
"93501",1,21,38,0
"96001",1,21,39,0
"98501",1,21,40,0
"101001",1,21,41,0
"103501",1,21,42,0
"106001",1,21,43,0
"108501",1,21,44,0
"111001",1,21,45,0
"113501",1,21,46,0
"116001",1,21,47,0
"118501",1,21,48,0
"121001",1,21,49,0
"123501",1,21,50,0
"1051",1,22,1,0
"3551",1,22,2,0
"6051",1,22,3,0
"8551",1,22,4,0
"11051",1,22,5,0
"13551",1,22,6,0
"16051",1,22,7,0
"18551",1,22,8,0
"21051",1,22,9,0
"23551",1,22,10,0
"26051",1,22,11,0
"28551",1,22,12,0
"31051",1,22,13,0
"33551",1,22,14,0
"36051",1,22,15,0
"38551",1,22,16,0
"41051",1,22,17,0
"43551",1,22,18,0
"46051",1,22,19,0
"48551",1,22,20,0
"51051",1,22,21,0
"53551",1,22,22,-1
"56051",1,22,23,0.26638181420622
"58551",1,22,24,0
"61051",1,22,25,0
"63551",1,22,26,0
"66051",1,22,27,0
"68551",1,22,28,0
"71051",1,22,29,0
"73551",1,22,30,0
"76051",1,22,31,0
"78551",1,22,32,0
"81051",1,22,33,0
"83551",1,22,34,0
"86051",1,22,35,0
"88551",1,22,36,0
"91051",1,22,37,0
"93551",1,22,38,0
"96051",1,22,39,0
"98551",1,22,40,0
"101051",1,22,41,0
"103551",1,22,42,0
"106051",1,22,43,0
"108551",1,22,44,0
"111051",1,22,45,0
"113551",1,22,46,0
"116051",1,22,47,0
"118551",1,22,48,0
"121051",1,22,49,0
"123551",1,22,50,0
"1101",1,23,1,0
"3601",1,23,2,0
"6101",1,23,3,0
"8601",1,23,4,0
"11101",1,23,5,0
"13601",1,23,6,0
"16101",1,23,7,0
"18601",1,23,8,0
"21101",1,23,9,0
"23601",1,23,10,0
"26101",1,23,11,0
"28601",1,23,12,0
"31101",1,23,13,0
"33601",1,23,14,0
"36101",1,23,15,0
"38601",1,23,16,0
"41101",1,23,17,0
"43601",1,23,18,0
"46101",1,23,19,0
"48601",1,23,20,0
"51101",1,23,21,0
"53601",1,23,22,0
"56101",1,23,23,-1
"58601",1,23,24,0.471432455181895
"61101",1,23,25,0
"63601",1,23,26,0
"66101",1,23,27,0
"68601",1,23,28,0
"71101",1,23,29,0
"73601",1,23,30,0
"76101",1,23,31,0
"78601",1,23,32,0
"81101",1,23,33,0
"83601",1,23,34,0
"86101",1,23,35,0
"88601",1,23,36,0
"91101",1,23,37,0
"93601",1,23,38,0
"96101",1,23,39,0
"98601",1,23,40,0
"101101",1,23,41,0
"103601",1,23,42,0
"106101",1,23,43,0
"108601",1,23,44,0
"111101",1,23,45,0
"113601",1,23,46,0
"116101",1,23,47,0
"118601",1,23,48,0
"121101",1,23,49,0
