"","subject","node.i","node.j","value"
"1903",3,9,4,0
"2403",3,9,5,0
"2903",3,9,6,0
"3403",3,9,7,0
"3903",3,9,8,0
"4403",3,9,9,-1
"4903",3,9,10,0.360011442228464
"453",3,10,1,0
"953",3,10,2,0
"1453",3,10,3,0
"1953",3,10,4,0
"2453",3,10,5,0
"2953",3,10,6,0
"3453",3,10,7,0
"3953",3,10,8,0
"4453",3,10,9,0
"4953",3,10,10,-1
"4",4,1,1,-1
"504",4,1,2,0.471190832350089
"1004",4,1,3,0
"1504",4,1,4,0
"2004",4,1,5,0.279754288522606
"2504",4,1,6,0
"3004",4,1,7,0
"3504",4,1,8,0
"4004",4,1,9,0
"4504",4,1,10,0
"54",4,2,1,0
"554",4,2,2,-1
"1054",4,2,3,0.529024975493248
"1554",4,2,4,0
"2054",4,2,5,0
"2554",4,2,6,0
"3054",4,2,7,0
"3554",4,2,8,0
"4054",4,2,9,0
"4554",4,2,10,0
"104",4,3,1,0
"604",4,3,2,0
"1104",4,3,3,-1
"1604",4,3,4,0.466860050568204
"2104",4,3,5,0
"2604",4,3,6,0
"3104",4,3,7,0
"3604",4,3,8,0.541514148587234
"4104",4,3,9,0
"4604",4,3,10,0
"154",4,4,1,0
"654",4,4,2,0
"1154",4,4,3,0
"1654",4,4,4,-1
"2154",4,4,5,0.519083807424337
"2654",4,4,6,0
"3154",4,4,7,0
"3654",4,4,8,0
"4154",4,4,9,0
"4654",4,4,10,0
"204",4,5,1,0
"704",4,5,2,0
"1204",4,5,3,0
"1704",4,5,4,0
"2204",4,5,5,-1
"2704",4,5,6,0
"3204",4,5,7,0
"3704",4,5,8,0
"4204",4,5,9,0
"4704",4,5,10,0
"254",4,6,1,0
"754",4,6,2,0
"1254",4,6,3,0
"1754",4,6,4,0
"2254",4,6,5,0
"2754",4,6,6,-1
"3254",4,6,7,0.398021044223123
"3754",4,6,8,0
"4254",4,6,9,0
"4754",4,6,10,0.294352707191852
"304",4,7,1,0
"804",4,7,2,0
"1304",4,7,3,0
"1804",4,7,4,0
"2304",4,7,5,0
"2804",4,7,6,0
"3304",4,7,7,-1
"3804",4,7,8,0.384328270116802
"4304",4,7,9,0
"4804",4,7,10,0
"354",4,8,1,0
"854",4,8,2,0
"1354",4,8,3,0
"1854",4,8,4,0
"2354",4,8,5,0
"2854",4,8,6,0
"3354",4,8,7,0
"3854",4,8,8,-1
"4354",4,8,9,0.239591443799884
"4854",4,8,10,0
"404",4,9,1,0
"904",4,9,2,0
"1404",4,9,3,0
"1904",4,9,4,0
"2404",4,9,5,0
"2904",4,9,6,0
"3404",4,9,7,0
"3904",4,9,8,0
"4404",4,9,9,-1
"4904",4,9,10,0.425730423467749
"454",4,10,1,0
"954",4,10,2,0
"1454",4,10,3,0
"1954",4,10,4,0
"2454",4,10,5,0
"2954",4,10,6,0
"3454",4,10,7,0
"3954",4,10,8,0
"4454",4,10,9,0
"4954",4,10,10,-1
"5",5,1,1,-1
"505",5,1,2,0.319490959580312
"1005",5,1,3,0
"1505",5,1,4,0
"2005",5,1,5,0.2
"2505",5,1,6,0
"3005",5,1,7,0
"3505",5,1,8,0
"4005",5,1,9,0
"4505",5,1,10,0
"55",5,2,1,0
"555",5,2,2,-1
"1055",5,2,3,0.452874301096223
"1555",5,2,4,0
"2055",5,2,5,0
"2555",5,2,6,0
"3055",5,2,7,0
"3555",5,2,8,0
"4055",5,2,9,0
"4555",5,2,10,0
"105",5,3,1,0
"605",5,3,2,0
"1105",5,3,3,-1
"1605",5,3,4,0.421932067266762
"2105",5,3,5,0
"2605",5,3,6,0
"3105",5,3,7,0
"3605",5,3,8,0.459128258692418
"4105",5,3,9,0
"4605",5,3,10,0
"155",5,4,1,0
"655",5,4,2,0
"1155",5,4,3,0
"1655",5,4,4,-1
"2155",5,4,5,0.307809837564446
"2655",5,4,6,0
"3155",5,4,7,0
"3655",5,4,8,0
"4155",5,4,9,0
"4655",5,4,10,0
"205",5,5,1,0
"705",5,5,2,0
"1205",5,5,3,0
"1705",5,5,4,0
"2205",5,5,5,-1
"2705",5,5,6,0
"3205",5,5,7,0
"3705",5,5,8,0
"4205",5,5,9,0
"4705",5,5,10,0
"255",5,6,1,0
"755",5,6,2,0
"1255",5,6,3,0
"1755",5,6,4,0
"2255",5,6,5,0
"2755",5,6,6,-1
"3255",5,6,7,0.394081217547881
"3755",5,6,8,0
"4255",5,6,9,0
"4755",5,6,10,0.569242987019052
"305",5,7,1,0
"805",5,7,2,0
"1305",5,7,3,0
"1805",5,7,4,0
"2305",5,7,5,0
"2805",5,7,6,0
"3305",5,7,7,-1
"3805",5,7,8,0.298936629352575
"4305",5,7,9,0
"4805",5,7,10,0
"355",5,8,1,0
"855",5,8,2,0
"1355",5,8,3,0
"1855",5,8,4,0
"2355",5,8,5,0
"2855",5,8,6,0
"3355",5,8,7,0
"3855",5,8,8,-1
"4355",5,8,9,0.461446304889548
"4855",5,8,10,0
"405",5,9,1,0
"905",5,9,2,0
"1405",5,9,3,0
"1905",5,9,4,0
"2405",5,9,5,0
"2905",5,9,6,0
"3405",5,9,7,0
"3905",5,9,8,0
"4405",5,9,9,-1
"4905",5,9,10,0.450774078534199
"455",5,10,1,0
"955",5,10,2,0
"1455",5,10,3,0
"1955",5,10,4,0
"2455",5,10,5,0
"2955",5,10,6,0
"3455",5,10,7,0
"3955",5,10,8,0
"4455",5,10,9,0
"4955",5,10,10,-1
"6",6,1,1,-1
"506",6,1,2,0.335640479731747
"1006",6,1,3,0
"1506",6,1,4,0
"2006",6,1,5,0.395177921085469
"2506",6,1,6,0
"3006",6,1,7,0
"3506",6,1,8,0
"4006",6,1,9,0
"4506",6,1,10,0
"56",6,2,1,0
"556",6,2,2,-1
"1056",6,2,3,0.438033725171391
"1556",6,2,4,0
"2056",6,2,5,0
"2556",6,2,6,0
"3056",6,2,7,0
"3556",6,2,8,0
"4056",6,2,9,0
"4556",6,2,10,0
"106",6,3,1,0
"606",6,3,2,0
"1106",6,3,3,-1
"1606",6,3,4,0.299088447565922
"2106",6,3,5,0
"2606",6,3,6,0
"3106",6,3,7,0
"3606",6,3,8,0.489563847121175
"4106",6,3,9,0
"4606",6,3,10,0
"156",6,4,1,0
"656",6,4,2,0
"1156",6,4,3,0
"1656",6,4,4,-1
"2156",6,4,5,0.398048933046971
"2656",6,4,6,0
"3156",6,4,7,0
"3656",6,4,8,0
"4156",6,4,9,0
"4656",6,4,10,0
"206",6,5,1,0
"706",6,5,2,0
"1206",6,5,3,0
"1706",6,5,4,0
"2206",6,5,5,-1
"2706",6,5,6,0
"3206",6,5,7,0
"3706",6,5,8,0
"4206",6,5,9,0
"4706",6,5,10,0
"256",6,6,1,0
"756",6,6,2,0
"1256",6,6,3,0
"1756",6,6,4,0
"2256",6,6,5,0
"2756",6,6,6,-1
"3256",6,6,7,0.400004319184163
"3756",6,6,8,0
"4256",6,6,9,0
"4756",6,6,10,0.442818327304516
"306",6,7,1,0
"806",6,7,2,0
"1306",6,7,3,0
"1806",6,7,4,0
"2306",6,7,5,0
"2806",6,7,6,0
"3306",6,7,7,-1
"3806",6,7,8,0.368214054875231
"4306",6,7,9,0
"4806",6,7,10,0
"356",6,8,1,0
"856",6,8,2,0
"1356",6,8,3,0
"1856",6,8,4,0
"2356",6,8,5,0
"2856",6,8,6,0
"3356",6,8,7,0
"3856",6,8,8,-1
"4356",6,8,9,0.509500373878749
"4856",6,8,10,0
"406",6,9,1,0
"906",6,9,2,0
"1406",6,9,3,0
"1906",6,9,4,0
"2406",6,9,5,0
"2906",6,9,6,0
"3406",6,9,7,0
"3906",6,9,8,0
"4406",6,9,9,-1
"4906",6,9,10,0.212600974235904
"456",6,10,1,0
"956",6,10,2,0
"1456",6,10,3,0
"1956",6,10,4,0
"2456",6,10,5,0
"2956",6,10,6,0
"3456",6,10,7,0
"3956",6,10,8,0
"4456",6,10,9,0
"4956",6,10,10,-1
"7",7,1,1,-1
"507",7,1,2,0.473095733842945
"1007",7,1,3,0
"1507",7,1,4,0
"2007",7,1,5,0.456890020520072
"2507",7,1,6,0
"3007",7,1,7,0
"3507",7,1,8,0
"4007",7,1,9,0
"4507",7,1,10,0
"57",7,2,1,0
"557",7,2,2,-1
"1057",7,2,3,0.45778573463308
"1557",7,2,4,0
"2057",7,2,5,0
"2557",7,2,6,0
"3057",7,2,7,0
"3557",7,2,8,0
"4057",7,2,9,0
"4557",7,2,10,0
"107",7,3,1,0
"607",7,3,2,0
"1107",7,3,3,-1
"1607",7,3,4,0.404031403161844
"2107",7,3,5,0
"2607",7,3,6,0
"3107",7,3,7,0
"3607",7,3,8,0.411844483705412
"4107",7,3,9,0
"4607",7,3,10,0
"157",7,4,1,0
"657",7,4,2,0
"1157",7,4,3,0
"1657",7,4,4,-1
"2157",7,4,5,0.467708918759731
"2657",7,4,6,0
"3157",7,4,7,0
"3657",7,4,8,0
"4157",7,4,9,0
"4657",7,4,10,0
"207",7,5,1,0
"707",7,5,2,0
"1207",7,5,3,0
"1707",7,5,4,0
"2207",7,5,5,-1
"2707",7,5,6,0
"3207",7,5,7,0
"3707",7,5,8,0
"4207",7,5,9,0
"4707",7,5,10,0
"257",7,6,1,0
"757",7,6,2,0
"1257",7,6,3,0
"1757",7,6,4,0
"2257",7,6,5,0
"2757",7,6,6,-1
"3257",7,6,7,0.374435458436804
"3757",7,6,8,0
"4257",7,6,9,0
"4757",7,6,10,0.376599595234397
"307",7,7,1,0
"807",7,7,2,0
"1307",7,7,3,0
"1807",7,7,4,0
"2307",7,7,5,0
"2807",7,7,6,0
"3307",7,7,7,-1
"3807",7,7,8,0.362253104447764
"4307",7,7,9,0
"4807",7,7,10,0
"357",7,8,1,0
"857",7,8,2,0
"1357",7,8,3,0
"1857",7,8,4,0
"2357",7,8,5,0
"2857",7,8,6,0
"3357",7,8,7,0
"3857",7,8,8,-1
"4357",7,8,9,0.370411288999644
"4857",7,8,10,0
"407",7,9,1,0
"907",7,9,2,0
"1407",7,9,3,0
"1907",7,9,4,0
"2407",7,9,5,0
"2907",7,9,6,0
"3407",7,9,7,0
"3907",7,9,8,0
"4407",7,9,9,-1
"4907",7,9,10,0.252486549414474
"457",7,10,1,0
"957",7,10,2,0
"1457",7,10,3,0
"1957",7,10,4,0
"2457",7,10,5,0
"2957",7,10,6,0
"3457",7,10,7,0
"3957",7,10,8,0
"4457",7,10,9,0
"4957",7,10,10,-1
"8",8,1,1,-1
"508",8,1,2,0.431480904339506
"1008",8,1,3,0
"1508",8,1,4,0
"2008",8,1,5,0.479904861814778
"2508",8,1,6,0
"3008",8,1,7,0
"3508",8,1,8,0
"4008",8,1,9,0
"4508",8,1,10,0
"58",8,2,1,0
"558",8,2,2,-1
"1058",8,2,3,0.544350824434982
"1558",8,2,4,0
"2058",8,2,5,0
"2558",8,2,6,0
"3058",8,2,7,0
"3558",8,2,8,0
"4058",8,2,9,0
"4558",8,2,10,0
"108",8,3,1,0
"608",8,3,2,0
"1108",8,3,3,-1
"1608",8,3,4,0.364902526167226
"2108",8,3,5,0
"2608",8,3,6,0
"3108",8,3,7,0
"3608",8,3,8,0.32579552478664
"4108",8,3,9,0
"4608",8,3,10,0
"158",8,4,1,0
"658",8,4,2,0
"1158",8,4,3,0
"1658",8,4,4,-1
"2158",8,4,5,0.462323385113849
"2658",8,4,6,0
"3158",8,4,7,0
"3658",8,4,8,0
"4158",8,4,9,0
"4658",8,4,10,0
"208",8,5,1,0
"708",8,5,2,0
"1208",8,5,3,0
"1708",8,5,4,0
"2208",8,5,5,-1
"2708",8,5,6,0
"3208",8,5,7,0
"3708",8,5,8,0
"4208",8,5,9,0
"4708",8,5,10,0
"258",8,6,1,0
"758",8,6,2,0
"1258",8,6,3,0
"1758",8,6,4,0
"2258",8,6,5,0
"2758",8,6,6,-1
"3258",8,6,7,0.494088994072778
"3758",8,6,8,0
"4258",8,6,9,0
"4758",8,6,10,0.299223660832173
"308",8,7,1,0
"808",8,7,2,0
"1308",8,7,3,0
"1808",8,7,4,0
"2308",8,7,5,0
"2808",8,7,6,0
"3308",8,7,7,-1
"3808",8,7,8,0.30079082644562
"4308",8,7,9,0
"4808",8,7,10,0
"358",8,8,1,0
"858",8,8,2,0
"1358",8,8,3,0
"1858",8,8,4,0
"2358",8,8,5,0
"2858",8,8,6,0
"3358",8,8,7,0
"3858",8,8,8,-1
"4358",8,8,9,0.421203515216506
"4858",8,8,10,0
"408",8,9,1,0
"908",8,9,2,0
"1408",8,9,3,0
"1908",8,9,4,0
"2408",8,9,5,0
"2908",8,9,6,0
"3408",8,9,7,0
"3908",8,9,8,0
"4408",8,9,9,-1
"4908",8,9,10,0.423788207287558
"458",8,10,1,0
"958",8,10,2,0
"1458",8,10,3,0
"1958",8,10,4,0
"2458",8,10,5,0
"2958",8,10,6,0
"3458",8,10,7,0
"3958",8,10,8,0
"4458",8,10,9,0
"4958",8,10,10,-1
"9",9,1,1,-1
"509",9,1,2,0.508229495315533
"1009",9,1,3,0
"1509",9,1,4,0
"2009",9,1,5,0.336453477452068
"2509",9,1,6,0
"3009",9,1,7,0
"3509",9,1,8,0
"4009",9,1,9,0
"4509",9,1,10,0
"59",9,2,1,0
"559",9,2,2,-1
"1059",9,2,3,0.386850029705473
"1559",9,2,4,0
"2059",9,2,5,0
"2559",9,2,6,0
"3059",9,2,7,0
"3559",9,2,8,0
"4059",9,2,9,0
"4559",9,2,10,0
"109",9,3,1,0
"609",9,3,2,0
"1109",9,3,3,-1
"1609",9,3,4,0.438988048968704
"2109",9,3,5,0
"2609",9,3,6,0
"3109",9,3,7,0
"3609",9,3,8,0.317828570830374
"4109",9,3,9,0
"4609",9,3,10,0
"159",9,4,1,0
"659",9,4,2,0
"1159",9,4,3,0
"1659",9,4,4,-1
"2159",9,4,5,0.408798710657979
"2659",9,4,6,0
"3159",9,4,7,0
"3659",9,4,8,0
"4159",9,4,9,0
"4659",9,4,10,0
"209",9,5,1,0
"709",9,5,2,0
"1209",9,5,3,0
"1709",9,5,4,0
"2209",9,5,5,-1
"2709",9,5,6,0
"3209",9,5,7,0
"3709",9,5,8,0
"4209",9,5,9,0
"4709",9,5,10,0
"259",9,6,1,0
"759",9,6,2,0
"1259",9,6,3,0
"1759",9,6,4,0
"2259",9,6,5,0
"2759",9,6,6,-1
"3259",9,6,7,0.344042669780376
"3759",9,6,8,0
"4259",9,6,9,0
"4759",9,6,10,0.456896064572327
"309",9,7,1,0
"809",9,7,2,0
"1309",9,7,3,0
"1809",9,7,4,0
"2309",9,7,5,0
"2809",9,7,6,0
"3309",9,7,7,-1
"3809",9,7,8,0.444365348950367
"4309",9,7,9,0
"4809",9,7,10,0
"359",9,8,1,0
"859",9,8,2,0
"1359",9,8,3,0
"1859",9,8,4,0
"2359",9,8,5,0
"2859",9,8,6,0
"3359",9,8,7,0
"3859",9,8,8,-1
"4359",9,8,9,0.305009620145235
"4859",9,8,10,0
"409",9,9,1,0
"909",9,9,2,0
"1409",9,9,3,0
"1909",9,9,4,0
"2409",9,9,5,0
"2909",9,9,6,0
"3409",9,9,7,0
"3909",9,9,8,0
"4409",9,9,9,-1
"4909",9,9,10,0.478118161787839
"459",9,10,1,0
"959",9,10,2,0
"1459",9,10,3,0
"1959",9,10,4,0
"2459",9,10,5,0
"2959",9,10,6,0
"3459",9,10,7,0
"3959",9,10,8,0
"4459",9,10,9,0
"4959",9,10,10,-1
"10",10,1,1,-1
"510",10,1,2,0.373439314866745
"1010",10,1,3,0
"1510",10,1,4,0
"2010",10,1,5,0.348136493365525
"2510",10,1,6,0
"3010",10,1,7,0
"3510",10,1,8,0
"4010",10,1,9,0
"4510",10,1,10,0
"60",10,2,1,0
"560",10,2,2,-1
"1060",10,2,3,0.28122229835302
"1560",10,2,4,0
"2060",10,2,5,0
"2560",10,2,6,0
"3060",10,2,7,0
"3560",10,2,8,0
"4060",10,2,9,0
"4560",10,2,10,0
"110",10,3,1,0
"610",10,3,2,0
"1110",10,3,3,-1
"1610",10,3,4,0.2
"2110",10,3,5,0
"2610",10,3,6,0
"3110",10,3,7,0
"3610",10,3,8,0.362557080497083
"4110",10,3,9,0
"4610",10,3,10,0
"160",10,4,1,0
"660",10,4,2,0
"1160",10,4,3,0
"1660",10,4,4,-1
"2160",10,4,5,0.498633739100202
"2660",10,4,6,0
"3160",10,4,7,0
"3660",10,4,8,0
"4160",10,4,9,0
"4660",10,4,10,0
"210",10,5,1,0
"710",10,5,2,0
"1210",10,5,3,0
"1710",10,5,4,0
"2210",10,5,5,-1
"2710",10,5,6,0
"3210",10,5,7,0
"3710",10,5,8,0
"4210",10,5,9,0
"4710",10,5,10,0
"260",10,6,1,0
"760",10,6,2,0
"1260",10,6,3,0
"1760",10,6,4,0
"2260",10,6,5,0
"2760",10,6,6,-1
"3260",10,6,7,0.432736756408083
"3760",10,6,8,0
"4260",10,6,9,0
"4760",10,6,10,0.305285393526146
"310",10,7,1,0
"810",10,7,2,0
"1310",10,7,3,0
"1810",10,7,4,0
"2310",10,7,5,0
"2810",10,7,6,0
"3310",10,7,7,-1
"3810",10,7,8,0.423405701284718
"4310",10,7,9,0
"4810",10,7,10,0
"360",10,8,1,0
"860",10,8,2,0
"1360",10,8,3,0
"1860",10,8,4,0
"2360",10,8,5,0
"2860",10,8,6,0
"3360",10,8,7,0
"3860",10,8,8,-1
"4360",10,8,9,0.402146613887909
"4860",10,8,10,0
"410",10,9,1,0
"910",10,9,2,0
"1410",10,9,3,0
"1910",10,9,4,0
"2410",10,9,5,0
"2910",10,9,6,0
"3410",10,9,7,0
"3910",10,9,8,0
"4410",10,9,9,-1
"4910",10,9,10,0.299605553325228
"460",10,10,1,0
"960",10,10,2,0
"1460",10,10,3,0
"1960",10,10,4,0
"2460",10,10,5,0
"2960",10,10,6,0
"3460",10,10,7,0
"3960",10,10,8,0
"4460",10,10,9,0
"4960",10,10,10,-1
"11",11,1,1,-1
"511",11,1,2,0.281411378619147
"1011",11,1,3,0
"1511",11,1,4,0
"2011",11,1,5,0.278268254629545
"2511",11,1,6,0
"3011",11,1,7,0
"3511",11,1,8,0
"4011",11,1,9,0
"4511",11,1,10,0
"61",11,2,1,0
"561",11,2,2,-1
"1061",11,2,3,0.294409707647631
"1561",11,2,4,0
"2061",11,2,5,0
"2561",11,2,6,0
"3061",11,2,7,0
"3561",11,2,8,0
"4061",11,2,9,0
"4561",11,2,10,0
"111",11,3,1,0
"611",11,3,2,0
"1111",11,3,3,-1
"1611",11,3,4,0.547247993441992
"2111",11,3,5,0
"2611",11,3,6,0
"3111",11,3,7,0
"3611",11,3,8,0.412864443004665
"4111",11,3,9,0
"4611",11,3,10,0
"161",11,4,1,0
"661",11,4,2,0
"1161",11,4,3,0
"1661",11,4,4,-1
"2161",11,4,5,0.405574383183784
"2661",11,4,6,0
"3161",11,4,7,0
"3661",11,4,8,0
"4161",11,4,9,0
"4661",11,4,10,0
"211",11,5,1,0
"711",11,5,2,0
"1211",11,5,3,0
"1711",11,5,4,0
"2211",11,5,5,-1
"2711",11,5,6,0
"3211",11,5,7,0
"3711",11,5,8,0
"4211",11,5,9,0
"4711",11,5,10,0
"261",11,6,1,0
"761",11,6,2,0
"1261",11,6,3,0
"1761",11,6,4,0
"2261",11,6,5,0
"2761",11,6,6,-1
"3261",11,6,7,0.395877286631357
"3761",11,6,8,0
"4261",11,6,9,0
"4761",11,6,10,0.495346544550482
"311",11,7,1,0
"811",11,7,2,0
"1311",11,7,3,0
"1811",11,7,4,0
"2311",11,7,5,0
"2811",11,7,6,0
"3311",11,7,7,-1
"3811",11,7,8,0.287165613567977
"4311",11,7,9,0
"4811",11,7,10,0
"361",11,8,1,0
"861",11,8,2,0
"1361",11,8,3,0
"1861",11,8,4,0
"2361",11,8,5,0
"2861",11,8,6,0
"3361",11,8,7,0
"3861",11,8,8,-1
"4361",11,8,9,0.265072245689751
"4861",11,8,10,0
"411",11,9,1,0
"911",11,9,2,0
"1411",11,9,3,0
"1911",11,9,4,0
"2411",11,9,5,0
"2911",11,9,6,0
"3411",11,9,7,0
"3911",11,9,8,0
"4411",11,9,9,-1
"4911",11,9,10,0.373889837693838
"461",11,10,1,0
"961",11,10,2,0
"1461",11,10,3,0
"1961",11,10,4,0
"2461",11,10,5,0
"2961",11,10,6,0
"3461",11,10,7,0
"3961",11,10,8,0
"4461",11,10,9,0
"4961",11,10,10,-1
"12",12,1,1,-1
"512",12,1,2,0.46564675138854
"1012",12,1,3,0
"1512",12,1,4,0
"2012",12,1,5,0.278684793150609
"2512",12,1,6,0
"3012",12,1,7,0
"3512",12,1,8,0
"4012",12,1,9,0
"4512",12,1,10,0
"62",12,2,1,0
"562",12,2,2,-1
